<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus Gold Com.ETF,20250215, 481500.00, 488000.00, 474555.00, 481880.00,10375322526279.00, 21530926,26151,D,473025.00,486399.00
Lotus Gold Com.ETF,20250211, 489000.00, 489000.00, 457020.00, 473025.00,18147546493170.00, 38364907,48502,D,482265.00,463500.00
Lotus Gold Com.ETF,20250209, 483980.00, 484454.00, 475200.00, 482265.00,16865212610482.00, 34970860,33593,D,440413.00,484454.00
Lotus Gold Com.ETF,20250205, 438379.00, 444599.00, 435001.00, 440413.00,9889320375567.00, 22454674,25429,D,425854.00,443200.00
Lotus Gold Com.ETF,20250204, 425100.00, 427500.00, 424500.00, 425854.00,4417785517996.00, 10373949,14194,D,424935.00,426000.00
Lotus Gold Com.ETF,20250203, 427700.00, 429900.00, 420600.00, 424935.00,5052408104438.00, 11889846,22389,D,423872.00,422101.00
Lotus Gold Com.ETF,20250202, 420020.00, 425814.00, 420020.00, 423872.00,4317894635857.00, 10186777,15706,D,418277.00,425298.00
Lotus Gold Com.ETF,20250201, 417500.00, 419366.00, 417100.00, 418277.00,3687370128334.00, 8815613,15543,D,410449.00,419350.00
Lotus Gold Com.ETF,20250129, 412000.00, 413888.00, 405100.00, 410449.00,4455753489364.00, 10855805,22176,D,412719.00,408725.00
Lotus Gold Com.ETF,20250127, 413001.00, 415500.00, 409509.00, 412719.00,4297520560277.00, 10412711,15966,D,415001.00,415396.00
Lotus Gold Com.ETF,20250126, 415851.00, 417050.00, 412113.00, 415001.00,4416872576612.00, 10643035,16834,D,413651.00,415900.00
Lotus Gold Com.ETF,20250125, 414000.00, 417030.00, 408399.00, 413651.00,5774151398410.00, 13959006,24277,D,407034.00,412399.00
Lotus Gold Com.ETF,20250122, 402500.00, 409990.00, 402300.00, 407034.00,5782459361532.00, 14206346,19844,D,396629.00,408400.00
Lotus Gold Com.ETF,20250121, 394300.00, 398200.00, 394300.00, 396629.00,3503706741874.00, 8833708,13900,D,389374.00,398001.00
